,number,value,datetime_start,datetime_complete,duration,params_clip_range,params_exponent_n_steps,params_learning_rate,state
0,0,-27558.904242122895,2023-10-05 21:08:21.276399,2023-10-05 21:25:12.934733,0 days 00:16:51.658334,0.17511779659330878,9,0.0001306347932609768,COMPLETE
1,1,-27254.54719971912,2023-10-05 21:25:12.989395,2023-10-05 21:40:12.776298,0 days 00:14:59.786903,0.23649262584451797,9,0.0004099987961702125,COMPLETE
2,2,-27778.94240163709,2023-10-05 21:40:12.784076,2023-10-05 21:55:01.896887,0 days 00:14:49.112811,0.20258872154930135,9,0.0009015918889578769,COMPLETE
3,3,-27515.830532924272,2023-10-05 21:55:01.898234,2023-10-05 22:10:11.684408,0 days 00:15:09.786174,0.15808873061337525,7,0.00012194846240294247,COMPLETE
4,4,-27462.87798067485,2023-10-05 22:10:11.685816,2023-10-05 22:25:28.353086,0 days 00:15:16.667270,0.18256637627387,4,0.0001365843907600976,COMPLETE
5,5,-27485.287057936657,2023-10-05 22:25:28.356020,2023-10-05 22:34:11.716212,0 days 00:08:43.360192,0.28197963531745845,11,0.0004424483197319679,COMPLETE
6,6,-27437.464386526728,2023-10-05 22:34:11.717384,2023-10-05 22:43:00.962353,0 days 00:08:49.244969,0.11155450439528034,6,0.00033788581682954135,COMPLETE
7,7,-24827.975082889665,2023-10-05 22:43:00.963525,2023-10-05 23:06:29.761719,0 days 00:23:28.798194,0.2593468993514059,11,0.0005680244500434889,COMPLETE
8,8,-27461.19188571861,2023-10-05 23:06:29.762850,2023-10-05 23:15:17.788557,0 days 00:08:48.025707,0.2880991563057044,11,0.0008723323211748303,COMPLETE
9,9,-29402.563053461723,2023-10-05 23:15:17.789718,2023-10-05 23:24:08.559200,0 days 00:08:50.769482,0.2424503642355082,4,0.000629263608149683,COMPLETE
10,10,-27490.499801432306,2023-10-05 23:24:08.560497,2023-10-05 23:32:49.546659,0 days 00:08:40.986162,0.25258340719681227,11,0.00023508612325162494,COMPLETE
11,11,-27497.847171479672,2023-10-05 23:32:49.547868,2023-10-05 23:41:40.655802,0 days 00:08:51.107934,0.22873106461755982,9,0.0005241824056562176,COMPLETE
12,12,-27721.606798358727,2023-10-05 23:41:40.657115,2023-10-05 23:59:19.182848,0 days 00:17:38.525733,0.2633717318852702,10,0.00033965014046461047,COMPLETE
13,13,-27555.39142061051,2023-10-05 23:59:19.184016,2023-10-06 00:08:04.559393,0 days 00:08:45.375377,0.2226138491948821,8,0.0006173689236446947,COMPLETE
14,14,-27350.63739003567,2023-10-06 00:08:04.560567,2023-10-06 00:25:35.952354,0 days 00:17:31.391787,0.2616363792373561,10,0.0002518208824099019,COMPLETE
15,15,-27479.87336593424,2023-10-06 00:25:35.953676,2023-10-06 00:44:14.423747,0 days 00:18:38.470071,0.2959101276889631,7,0.00046060787582890753,COMPLETE
16,16,-27499.243706005043,2023-10-06 00:44:14.488823,2023-10-06 01:01:50.155866,0 days 00:17:35.667043,0.21425916358247424,10,0.000719411177660992,COMPLETE
17,17,-25946.379985032487,2023-10-06 01:01:50.163273,2023-10-06 01:16:59.650678,0 days 00:15:09.487405,0.23743930288617499,8,0.0004035559953737741,COMPLETE
18,18,-28175.558789001603,2023-10-06 01:16:59.651813,2023-10-06 01:31:41.615040,0 days 00:14:41.963227,0.2681182081621659,6,0.0009738973050468689,COMPLETE
19,19,-27462.87798067485,2023-10-06 01:31:41.616292,2023-10-06 01:40:30.682293,0 days 00:08:49.066001,0.24590467308366998,5,0.0005336118794373627,COMPLETE
